vectorizer,max_features,ngram_range,model,use_features,f1_score,accuracy,train_time,predict_time
count,20000,"(1, 1)",logreg,True,0.8299654033610944,0.8286033914272256,30.349165439605713,0.4973635673522949
count,20000,"(1, 2)",logreg,True,0.8294458832624128,0.8274846914743288,33.88602423667908,0.7722446918487549
count,20000,"(1, 3)",logreg,True,0.8273080730402832,0.825247291568535,41.815919399261475,1.0591647624969482
count,10000,"(1, 1)",logreg,True,0.8261556213354293,0.8243641073951955,22.232186794281006,0.43003106117248535
count,10000,"(1, 2)",logreg,True,0.8218223057371565,0.8195949128591615,27.846428871154785,0.7223825454711914
count,10000,"(1, 3)",logreg,True,0.817820127668985,0.8157089024964672,35.36743426322937,0.9495446681976318
count,5000,"(1, 1)",logreg,True,0.8161875660498116,0.814119170984456,19.340410470962524,0.40140652656555176
count,5000,"(1, 2)",logreg,True,0.8121479372828824,0.8097621290626472,25.17247748374939,0.6745538711547852
count,5000,"(1, 3)",logreg,True,0.8113520825925131,0.8088789448893076,31.96450114250183,0.8920018672943115
